"Plot","NORTHING","EASTING","Dist_year","Dist_hist","Yrs_P_Dist","NEAR_FID","NEAR_DIST","dem","tpi200","tpi1000","dc","dac","hli","rugg","crv","d2w","wind","windExp","northness","eastness","Part_incomplete","ST.parent","ST","VT","FG","texture","bedrock","stones","humus_thick","MR","NR","drainage","micro_relief","MottDepth","GleyDepth","CoarseFrags","CarbonTonnesPerHa","CarbonTotalKg","O_dep","AhTOT","AhTOTupl"
2384,5047246.42,538050.26,NA,"no",0,2275,2179.72194649,30.8798198699951,17.790548324585,4.13837480545044,3082.76171875,67857.078125,0.699276864528656,7.47069454193115,0.00126399996224791,2268,29851.63671875,3,-0.592135233047706,0.805838610258617,"yes",2,"2","SH3","SH",3,0,0,5,3,3,3,4,200,200,0,6.25,250.09,0,0,0
2385,5045140.21,536817.34,NA,"no",0,2114,262.962904038,36.2255477905273,-4.83510780334473,-20.9571895599365,6440.29541015625,67076.828125,0.716361999511719,2.73248553276062,-0.0050050001591444,367,29282.638671875,4,-0.796779615716634,0.604270009166807,"yes",2,"2","SH1","SH",3,0,0,7,3.5,3,3,6,200,200,0,1.33,53.3,0,0,0
2386,5045084.16,536560.42,NA,"no",0,2113,262.962904038,51.8688774108887,-0.379855155944824,-13.2584686279297,7109.6748046875,67199.7265625,0.684802889823914,1.94125330448151,-0.0003969999961555,104,29825.63671875,4,-0.503805033916858,0.863817392624178,"yes",3,"3L","MW4a","MW",2,0,0.5,4,5,3.5,5,6,15,200,0,2.56,102.5,0,0,0
2387,4982062.44,479093.74,NA,"no",0,2116,92.8617919273,37.8207092285156,-1.39812088012695,-8.29279136657715,38017.71875,26098.734375,0.75238436460495,4.08195018768311,0.00701799988746643,1230,28260.353515625,4,-0.989722458430753,0.143001591871508,"yes",17,"17","KA3","KA",2,95,0,1,2.5,4.5,2.5,9,200,200,0,16.19,647.78,0,12,12
2388,4982152.12,479117.84,NA,"no",0,2115,92.8617919273,29.5269508361816,-12.2077836990356,-16.0136184692383,38075.73828125,26177.60546875,0.738775432109833,2.459477186203,0.0020469999872148,95,28245.447265625,4,0.113171990417521,-0.993575412631038,"yes",8,"8","TH3","TH",2,0,0.5,2,3,4,3,6,200,200,0,14.22,568.79,0,8,8
2389,4981747.14,479136.22,NA,"no",0,2115,318.148770861,40.6550216674805,-5.43660259246826,-6.45987892150879,37450.38671875,25792.361328125,0.681352078914642,0.332581996917725,-0.00110100000165403,2,28327.404296875,3,0.931042444292382,-0.364910902722934,"yes",13,"13","WM4","WM",1,0,0,5,7,4,6,1,0,0,0,19.34,773.78,5,10,0
2390,5026062.2,496995.63,NA,"no",0,2119,177.943584599,205.061721801758,-0.271953582763672,-1.6334114074707,43013.42578125,65273.10546875,0.679507791996002,0.0837741941213608,0.000174000000697561,8,27479.384765625,3,0.244571711970138,0.969631207059672,"no",14,"14","WC11","WC",0,0,0,50,7,1,7,1,0,0,0,NA,NA,50,0,0
2391,5026078.12,497172.86,NA,"no",0,2118,177.943584599,204.776748657227,0.132839202880859,-1.47873687744141,43142.34765625,65180.921875,0.67137610912323,0.66207492351532,-0.000647999986540526,96,27382.35546875,3,0.998809730577689,0.0487762452770231,"yes",4,"4S","WC11","WC",3,0,0.5,14,6,1,6,1,0,0,0,0.41,16.4,14,0,0
2392,5009849.59,433319.01,2019,"yes",1,2121,174.150285673,59.2709579467773,1.02993965148926,10.2809619903564,7834.8369140625,69750.7578125,0.692778766155243,0.515621364116669,-0.000612000003457069,221,32487.837890625,3,-0.677709740101825,-0.735329523527457,"yes",6,"6","SH5a","SH",1,0,0,17,5.5,3,5,2,0,200,2,3.69,147.6,0,0,0
2393,5009689.07,433251.47,2019,"yes",1,2120,174.150285673,57.0597267150879,1.10293483734131,6.76174545288086,7795.64453125,69639.015625,0.695449411869049,0.591601610183716,0.000296999991405755,139,31943.564453125,3,-0.792501257087746,-0.609870279251532,"yes",6,"6","IH7","IH",1,0,0,8,4.5,3,5,2,0,200,0,5.53,221.03,0,0,0
2394,5010589.86,433798.88,NA,"no",0,2123,193.240230025,47.2475967407227,5.87773323059082,4.50186824798584,6426.91845703125,70202.4453125,0.592821717262268,3.0657103061676,9.00000013643876e-05,1192,32268.1328125,3,0.541141831381756,0.840931339842201,"yes",6,"6","TH8","TH",1,0,0.5,6,4,3.5,5,6,15,200,0,3.89,155.8,0,0,0
2395,5010559.75,433608,NA,"no",0,2122,193.240230025,48.8379745483398,2.0741720199585,6.67775535583496,6663.005859375,70263.140625,0.724264085292816,4.46059942245483,0.000735000008717179,826,32043.623046875,3,0.68468469739141,-0.728839395997522,"yes",5,"5","MW1","MW",1,0,0,NA,3.5,3.5,4,2,45,200,0,7.69,307.49,0,0,0
2396,5008247.92,435827.01,NA,"no",0,2127,332.082014719,66.181770324707,0.321691513061523,2.33482074737549,10895.208984375,67219.5703125,0.688986003398895,0.356625467538834,0.000669999979436398,66,27572.95703125,3,-0.989729502700626,0.142952829576655,"yes",6,"6","OW2","OW",1,0,0,NA,5,1,5,2,15,200,NA,NA,NA,0,NA,NA
2397,5007775.76,436386.63,NA,"no",0,2127,402.677169082,73.1184692382812,4.23054313659668,4.11378860473633,11895.265625,66556.3359375,0.735339462757111,2.30950403213501,0.00187899998854846,595,27031.310546875,3,-0.982559314592034,0.185949437505017,"yes",5,"5C","SP3","SP",2,0,0,10,3,1.5,3,4,45,200,0,3.89,155.8,0,0,0
2398,5007447.37,436693.74,2020,"yes",0,2129,249.498755508,74.0790405273438,0.820968627929688,4.50843238830566,12701.77734375,66126.4453125,0.649280726909637,1.80123674869537,0.00108099996577948,158,27289.3828125,3,0.14224362850222,0.98983167768592,"yes",2,"2","MW12","MW",3,0,0,7,3,1.5,3,4,29,200,0,15.17,606.78,0,0,0
2399,5008058.01,436099.43,NA,"no",0,2124,332.082014719,68.9951858520508,2.29532432556152,1.89982986450195,11275.7216796875,66928.53125,0.706558585166931,1.361212849617,0.000226999996812083,319,27235.453125,3,0.464355484190368,-0.885648905776058,"yes",2,"2C","SP2","SP",4,0,0,13,2,1.5,2.5,2,200,200,17,6.97,278.79,0,0,0
2400,5007425.54,436138,NA,"no",0,2129,334.88004315,66.3382339477539,0.718027114868164,0.15056037902832,12415.509765625,66345.7109375,0.764425694942474,3.15517735481262,0.00365200010128319,593,27012.544921875,3,-0.945952812064328,-0.324304297454705,"yes",2,"2L","IH6","IH",2,0,0,6,3,2.5,3,5,200,200,0,16.86,674.39,0,0,0
2401,5007349.66,436464.17,NA,"no",0,2126,249.498755508,73.8712158203125,2.79823303222656,5.88902473449707,12556.265625,66132.8671875,0.705136835575104,0.903731763362885,-0.000184000004082918,101,26885.68359375,3,-0.870976738315073,-0.491324252723227,"yes",3,"3C","SP2a","SP",4,0,0,9,4.5,2,5,2,14,200,0,11.58,463.29,0,0,0
2402,5008723,430250,NA,"no",0,2131,2130.39198271,52.2421722412109,0.143217086791992,5.99013996124268,10450.205078125,70071.7265625,0.716682255268097,1.56725859642029,-0.0010659999679774,210,30759.271484375,3,-0.714576160397721,-0.699557653800779,"yes",5,"5","SH3","SH",1,0,0,10,3.5,3,3,6,45,200,0,6.32,252.73,0,0,0
2403,5007036,431551,NA,"no",0,2132,86.3307592924,24.2079334259033,-3.46832418441772,-10.2607192993164,12052.857421875,68086.875,0.801215350627899,6.86272144317627,-0.000754999986384064,248,31336.306640625,3,0.389552150037968,-0.921004409544708,"yes",5,"5","OR","OR",1,0,0,6,3.5,3,4,2,45,200,0,5.53,221.39,0,0,0
2404,5006958,431588,NA,"no",0,2131,86.3307592924,32.2292785644531,3.2859902381897,-1.89992237091064,12446.2236328125,68002.34375,0.673335671424866,0.377275913953781,0.000280999985989183,59,31476.888671875,3,0.96380732121124,0.266599789158981,"yes",3,"3C","SP7","SP",4,0,0,14,4.5,2,5,1,13,200,0,3.89,155.8,0,0,0
2405,5063583,440331,NA,"no",0,1830,681.744820296,38.4637603759766,2.34128284454346,-4.12117671966553,21343.6171875,116228.8515625,0.669360756874084,2.02974510192871,0.000414000009186566,662,25116.416015625,3,-0.284836315629884,0.95857616979476,"yes",9,"9","OF1","OF",2,0,0.5,2,4,3,5,4,15,200,0,24.07,962.65,0,0,0
2406,5058370,437942,NA,"no",0,2135,434.01036854,33.9897575378418,0.324886322021484,-0.916423797607422,30311.01171875,112517.6953125,0.679686367511749,0.229250878095627,0.00101300003007054,58,26384.10546875,3,0.986010050394902,-0.166685873787323,"yes",3,"3C","WC3","WC",4,0,0,12,5,1,5.5,1,15,200,0,5.53,221.39,0,NA,NA
2407,5058373,437508,NA,"no",0,2134,434.01036854,29.8150253295898,-1.46770858764648,-4.61753082275391,30662.41015625,112712.0390625,0.685594260692596,0.499559968709946,0.00126299995463341,50,26367.283203125,3,0.279697593564477,-0.960088150199887,"yes",8,"8","FP5","FP",2,0,0,2,3.5,3.5,3.5,1,200,200,0,5.21,208.46,0,0,0
2408,5057191,485949,NA,"no",0,2137,960.938083333,53.5453567504883,3.5368480682373,3.56021308898926,11644.060546875,97284.8671875,0.707279741764069,1.98979735374451,0.002381999976933,905,28932.865234375,3,0.623049716551828,-0.782182236249767,"yes",5,"5","IH1","IH",1,0,0,6,3,3,3,6,45,200,0,3.05,122.18,0,0,0
2409,5057252,484990,NA,"no",0,2136,960.938083333,44.951602935791,-0.253914833068848,2.79111862182617,10791.48046875,97836.0390625,0.700221061706543,0.726949274539948,-0.000467000005301088,377,28122.982421875,3,-0.996047847473051,0.0888182725811597,"yes",3,"3","SH5a","SH",3,0,0,10,5,3,5,4,0,200,0,6.46,258.29,0,0,0
2410,5009570,468101,NA,"no",0,2066,4138.58357412,21.2064018249512,-0.793084621429443,-12.8349685668945,17645.810546875,55702.71875,0.926651954650879,11.2590761184692,-0.00111900002229959,1520,28679.380859375,4,-0.999118591633013,-0.0419766584337652,"yes",8,"8","OF7","OF",2,0,0.5,2,3,3.5,3,2,200,200,0,11.57,462.92,0,10,10
2413,5158602.98,697629.06,NA,"no",0,2140,225.414001562,119.634887695312,10.8311042785645,3.13559913635254,7086.01318359375,69242.5625,0.847145736217499,7.11058902740479,0.00339800002984703,3718,34868.13671875,4,-0.506909491804124,-0.861999284871446,"yes",1,"1S","SP3","SP",4,0,0.5,7,2,2,2,2,200,200,0,4.51,180.39,0,0,0
